prot	method	featset	metric	val.max
O00329	RIDGE	union	Accuracy	0.950226244343891
O14757	LASSO	union	Accuracy	0.954773869346734
O14920	SVM	linear	Accuracy	0.971698113207547
O14965	RIDGE	linear	Accuracy	0.940298507462687
O15530	RANDOM_FOREST	boruta	Accuracy	1
O60674	XGBOOST	union	Accuracy	0.96969696969697
O75116	KNN	union	Accuracy	0.959302325581395
O96017	NEURALNET	union	Accuracy	0.979166666666667
P00519	RANDOM_FOREST	union	Accuracy	0.97029702970297
P00533	XGBOOST	union	Accuracy	0.924693520140105
P04049	SVM	union	Accuracy	0.966666666666667
P04626	LASSO	union	Accuracy	0.897810218978102
P04629	SVM	union	Accuracy	0.924528301886792
P05771	LASSO	boruta	Accuracy	0.966666666666667
P06213	RIDGE	linear	Accuracy	1
P06239	SVM	union	Accuracy	0.895652173913044
P06493	ELASTICNET	union	Accuracy	0.974789915966387
P07333	RANDOM_FOREST	linear	Accuracy	0.969387755102041
P07947	NEURALNET	boruta	Accuracy	0.956521739130435
P07949	RIDGE	linear	Accuracy	0.938461538461538
P08069	XGBOOST	linear	Accuracy	0.974226804123711
P08581	SVM	linear	Accuracy	0.958656330749354
P09619	XGBOOST	boruta	Accuracy	0.945454545454545
P10398	CART	linear	Accuracy	1
P10721	XGBOOST	union	Accuracy	0.87037037037037
P11309	RIDGE	linear	Accuracy	0.982558139534884
P11362	LASSO	union	Accuracy	0.956043956043956
P11802	SVM	linear	Accuracy	0.987096774193548
P12931	RANDOM_FOREST	union	Accuracy	0.907766990291262
P15056	XGBOOST	linear	Accuracy	0.952
P16234	SVM	linear	Accuracy	0.869565217391304
P17948	RANDOM_FOREST	boruta	Accuracy	0.942857142857143
P19784	RANDOM_FOREST	boruta	Accuracy	1
P21802	NAIVE	linear	Accuracy	0.995327102803738
P22455	XGBOOST	boruta	Accuracy	0.991869918699187
P22607	RIDGE	linear	Accuracy	0.976923076923077
P23458	RIDGE	linear	Accuracy	0.987394957983193
P24941	XGBOOST	union	Accuracy	0.966216216216216
P25098	NAIVE	linear	Accuracy	1
P28482	XGBOOST	union	Accuracy	0.99236641221374
P29597	XGBOOST	union	Accuracy	0.985507246376812
P30530	CART	union	Accuracy	1
P31749	SVM	linear	Accuracy	0.962441314553991
P31751	RIDGE	union	Accuracy	0.974358974358974
P35968	SVM	linear	Accuracy	0.917355371900826
P36888	SVM	linear	Accuracy	0.976666666666667
P36897	RIDGE	linear	Accuracy	0.986666666666667
P42336	XGBOOST	boruta	Accuracy	0.951367781155015
P42338	XGBOOST	linear	Accuracy	0.970059880239521
P42345	XGBOOST	boruta	Accuracy	0.986784140969163
P43405	NEURALNET	linear	Accuracy	0.973484848484849
P45983	SVM	linear	Accuracy	0.965116279069767
P45984	DECISION_TREE	union	Accuracy	0.952380952380952
P48736	RANDOM_FOREST	linear	Accuracy	0.948979591836735
P49137	ELASTICNET	boruta	Accuracy	0.974358974358974
P49759	XGBOOST	union	Accuracy	0.933333333333333
P49840	XGBOOST	linear	Accuracy	0.961538461538462
P49841	XGBOOST	boruta	Accuracy	0.94017094017094
P50750	CART	linear	Accuracy	0.982758620689655
P52333	DECISION_TREE	boruta	Accuracy	0.960573476702509
P53350	DECISION_TREE	boruta	Accuracy	0.985294117647059
P53667	NEURALNET	boruta	Accuracy	0.904761904761905
P53779	XGBOOST	boruta	Accuracy	0.971014492753623
P68400	SVM	union	Accuracy	0.985294117647059
Q02750	RIDGE	linear	Accuracy	0.948051948051948
Q02763	XGBOOST	linear	Accuracy	0.981481481481482
Q04759	ELASTICNET	union	Accuracy	0.959183673469388
Q05397	RIDGE	linear	Accuracy	0.968992248062015
Q06187	DECISION_TREE	linear	Accuracy	0.965853658536585
Q06418	NAIVE	boruta	Accuracy	0.884615384615385
Q07912	NEURALNET	linear	Accuracy	0.966666666666667
Q08881	RIDGE	linear	Accuracy	1
Q13315	LASSO	boruta	Accuracy	0.974358974358974
Q13535	XGBOOST	boruta	Accuracy	1
Q13627	LASSO	linear	Accuracy	0.964705882352941
Q14164	NAIVE	boruta	Accuracy	0.981818181818182
Q16288	DECISION_TREE	linear	Accuracy	0.954545454545455
Q16539	DECISION_TREE	union	Accuracy	0.95364238410596
Q5S007	KNN	linear	Accuracy	0.926829268292683
Q96GD4	XGBOOST	linear	Accuracy	0.958115183246073
Q9NWZ3	KNN	common	Accuracy	0.925925925925926
Q9P1W9	XGBOOST	union	Accuracy	0.977011494252874
Q9UM73	RIDGE	linear	Accuracy	0.97037037037037
Q9Y243	LASSO	linear	Accuracy	1
O00329	LASSO	linear	Specificity	0.91304347826087
O14757	LASSO	linear	Specificity	0.954545454545455
O14920	SVM	linear	Specificity	1
O14965	LASSO	union	Specificity	0.928571428571429
O15530	RANDOM_FOREST	boruta	Specificity	1
O60674	XGBOOST	linear	Specificity	0.906666666666667
O75116	LASSO	union	Specificity	0.948717948717949
O96017	LASSO	boruta	Specificity	1
P00519	RANDOM_FOREST	union	Specificity	0.982456140350877
P00533	DECISION_TREE	common	Specificity	0.933609958506224
P04049	NEURALNET	linear	Specificity	1
P04626	CART	union	Specificity	0.884057971014493
P04629	LOGISTIC	boruta	Specificity	0.923076923076923
P05771	CART	linear	Specificity	1
P06213	NEURALNET	boruta	Specificity	1
P06239	CART	linear	Specificity	0.911111111111111
P06493	SVM	boruta	Specificity	1
P07333	NEURALNET	union	Specificity	0.833333333333333
P07947	NEURALNET	boruta	Specificity	1
P07949	RIDGE	linear	Specificity	0.888888888888889
P08069	XGBOOST	linear	Specificity	0.944444444444444
P08581	RIDGE	union	Specificity	0.869565217391304
P09619	DECISION_TREE	linear	Specificity	0.943396226415094
P10398	RANDOM_FOREST	boruta	Specificity	1
P10721	NEURALNET	linear	Specificity	0.796296296296296
P11309	DECISION_TREE	boruta	Specificity	0.95
P11362	NEURALNET	boruta	Specificity	0.928571428571429
P11802	NAIVE	boruta	Specificity	0.777777777777778
